record_id,restaurant_name,location,cuisines,estimated_cost,budget_bucket,rating,source
36677,The Reservoire,koramangala 5th block,"american, chinese, continental, north indian",1300.0,high,4.5,huggingface
36723,Bathinda Junction,koramangala 5th block,"mughlai, north indian",600.0,medium,4.1,huggingface
36731,Anjappar,koramangala 4th block,"chettinad, south indian",650.0,medium,4.0,huggingface
36737,Nuts Over Salads Cafe,koramangala 5th block,"cafe, healthy food, mexican, salad",800.0,medium,4.4,huggingface
36782,Mani's Dum Biryani,koramangala 5th block,"andhra, biryani",750.0,medium,3.9,huggingface
36786,Peace Restaurant,koramangala 5th block,"chinese, north indian, tibetan",500.0,low,3.8,huggingface
36792,Bulls N Bears - Bar Trade Xchange,koramangala 5th block,"continental, finger food, north indian, pizza",1000.0,medium,3.8,huggingface
36798,Pipabu,koramangala 4th block,"chinese, continental, italian",750.0,medium,3.6,huggingface
36824,Purani Dilli By Anand Sweets,koramangala 5th block,"fast food, north indian",500.0,low,4.1,huggingface
36825,Chai Point,koramangala 6th block,"beverages, fast food, sandwich, tea",250.0,low,4.0,huggingface
36866,Mayura Grand,koramangala 6th block,"north indian, south indian",400.0,low,3.6,huggingface
36875,Dhuaan,koramangala 5th block,"cafe, continental",800.0,medium,4.4,huggingface
36877,Momoz,koramangala 5th block,"chinese, momos, seafood",600.0,medium,3.9,huggingface
36878,Vasudev Adiga's,koramangala 4th block,"chinese, north indian, south indian, street food",250.0,low,2.9,huggingface
36918,Kaaram,koramangala 6th block,"andhra, biryani",500.0,low,3.8,huggingface
36926,Stoner,koramangala 5th block,"beverages, burger, cafe, desserts, ice cream, pizza",500.0,low,4.4,huggingface
36942,Madurai Idly Shop,koramangala 6th block,south indian,200.0,low,3.8,huggingface
36957,Guns N Roses,ejipura,"biryani, fast food",300.0,low,3.7,huggingface
36960,Sagar Fast Food,koramangala 3rd block,"fast food, north indian, south indian",300.0,low,3.9,huggingface
36961,Namma Biriyani,koramangala 5th block,"biryani, chinese, north indian",250.0,low,3.8,huggingface
36964,Taste of Nepal,koramangala 8th block,chinese,300.0,low,3.5,huggingface
36970,Mountain Spice,koramangala 8th block,chinese,200.0,low,3.9,huggingface
37026,Maa Durga Fast Food,koramangala 8th block,"chinese, north indian",200.0,low,3.6,huggingface
37093,Shanghai Times,koramangala 6th block,"chinese, momos",500.0,low,2.9,huggingface
37109,Cafe Thulp,koramangala 1st block,"burger, cafe, italian, salad",1000.0,medium,4.2,huggingface
37130,Alankrutha,btm,"chinese, north indian",550.0,medium,3.8,huggingface
37157,Ambur Star Briyani,btm,"biryani, chettinad, chinese",400.0,low,3.6,huggingface
37168,Head's Or Tail's,wilson garden,"chinese, finger food, north indian",1000.0,medium,4.0,huggingface
37186,New Limra Hotel,btm,"biryani, fast food, south indian",200.0,low,3.3,huggingface
37193,Hotel Janatha,wilson garden,south indian,250.0,low,3.9,huggingface
37223,All Aromas,jayanagar,"biryani, north indian",400.0,low,3.5,huggingface
37232,Rolls On Wheels,btm,fast food,200.0,low,3.4,huggingface
37240,Royal Biryani Kitchen,btm,"biryani, kebab, north indian",600.0,medium,4.0,huggingface
37268,Ammus Hot N Cool,btm,"beverages, fast food, kebab, north indian, rolls",300.0,low,3.5,huggingface
37270,Eat N Drink,btm,"beverages, fast food",250.0,low,3.8,huggingface
37279,Swad Restaurant,btm,"chinese, north indian",500.0,low,3.7,huggingface
37360,Armaani Caffe,btm,"beverages, fast food",300.0,low,3.5,huggingface
